iter	Passed	Remaining
456	840	999
457	845	1000
458	846	997
459	847	994
460	848	992
461	849	989
462	850	986
463	851	983
464	852	980
465	853	977
466	854	975
467	855	972
468	856	969
469	858	967
470	859	964
471	860	962
472	860	959
473	861	956
474	862	953
475	863	950
476	864	948
477	865	945
478	866	942
479	867	939
480	868	937
481	871	936
482	875	937
483	876	934
484	877	931
485	878	929
486	879	926
487	880	923
488	881	921
489	883	919
490	884	917
491	890	919
492	892	917
493	893	914
494	894	912
495	895	910
496	897	907
497	898	905
498	900	903
499	904	904
500	906	902
501	907	900
502	908	897
503	909	895
504	911	893
505	912	891
506	914	888
507	915	886
508	922	889
509	923	887
510	925	885
511	927	884
512	928	881
513	930	879
514	933	879
515	941	882
516	942	880
517	943	878
518	944	875
519	946	873
520	950	873
521	952	872
522	954	870
523	955	867
524	956	865
525	957	863
526	958	860
527	960	858
528	967	861
529	969	859
530	970	857
531	972	855
532	973	853
533	975	850
534	976	848
535	977	846
536	982	846
537	983	844
538	984	842
539	986	839
540	987	837
541	988	835
542	989	832
543	990	830
544	992	828
545	997	829
546	998	827
547	999	824
548	1001	822
549	1002	819
550	1003	817
551	1004	815
552	1005	813
553	1007	810
554	1009	809
555	1011	807
556	1013	805
557	1014	803
558	1015	801
559	1019	801
560	1024	802
561	1026	799
562	1027	797
563	1028	795
564	1029	792
565	1030	790
566	1031	787
567	1036	788
568	1038	786
569	1038	783
570	1039	781
571	1040	778
572	1041	776
573	1042	773
574	1043	771
575	1044	769
576	1045	766
577	1046	764
578	1051	764
579	1053	762
580	1054	760
581	1055	757
582	1056	755
583	1057	753
584	1058	750
585	1059	748
586	1059	745
587	1061	743
588	1062	741
589	1067	741
590	1069	739
591	1070	737
592	1071	735
593	1072	732
594	1072	730
595	1073	727
596	1074	725
597	1075	723
598	1076	720
599	1077	718
600	1080	717
601	1084	716
602	1085	714
603	1086	712
604	1087	710
605	1088	707
606	1089	705
607	1090	703
608	1091	700
609	1096	701
610	1099	700
611	1100	698
612	1102	695
613	1103	693
614	1104	691
615	1105	689
616	1107	687
617	1115	689
618	1116	687
619	1119	686
620	1120	683
621	1121	681
622	1122	679
623	1123	676
624	1127	676
625	1128	674
626	1129	671
627	1130	669
628	1131	667
629	1132	664
630	1132	662
631	1133	660
632	1134	657
633	1135	655
634	1136	653
635	1137	651
636	1140	650
637	1143	648
638	1144	646
639	1145	644
640	1146	641
641	1147	639
642	1147	637
643	1148	635
644	1149	632
645	1150	630
646	1151	628
647	1152	626
648	1153	623
649	1158	623
650	1159	621
651	1160	619
652	1161	617
653	1162	614
654	1163	612
655	1164	610
656	1166	608
657	1167	606
658	1168	604
659	1168	602
660	1172	601
661	1173	599
662	1176	597
663	1177	595
664	1178	593
665	1179	591
666	1180	589
667	1181	587
668	1182	584
669	1183	582
670	1184	580
671	1184	578
672	1187	577
673	1189	575
674	1190	573
675	1191	571
676	1192	569
677	1193	566
678	1194	564
679	1195	562
680	1196	560
681	1197	558
682	1202	558
683	1203	555
684	1204	553
685	1205	551
686	1206	549
687	1207	547
688	1208	545
689	1209	543
690	1210	541
691	1211	539
692	1213	537
693	1214	535
694	1215	533
695	1216	531
696	1217	529
697	1218	527
698	1219	524
699	1220	523
700	1221	520
701	1222	518
702	1223	516
703	1224	514
704	1225	512
705	1226	510
706	1229	509
707	1231	507
708	1232	505
709	1233	503
710	1234	501
711	1235	499
712	1236	497
713	1237	495
714	1239	493
715	1240	491
716	1241	490
717	1246	489
718	1247	487
719	1249	485
720	1250	483
721	1251	481
722	1252	479
723	1253	477
724	1274	483
725	1279	482
726	1280	480
727	1281	478
728	1283	477
729	1284	475
730	1285	473
731	1287	471
732	1288	469
733	1289	467
734	1296	467
735	1297	465
736	1299	463
737	1300	461
738	1301	459
739	1302	457
740	1303	455
741	1304	453
742	1309	452
743	1310	451
744	1312	449
745	1313	447
746	1314	445
747	1315	443
748	1316	441
749	1318	439
750	1319	437
751	1320	435
752	1325	434
753	1326	432
754	1328	430
755	1329	429
756	1330	427
757	1332	425
758	1333	423
759	1334	421
760	1335	419
761	1341	418
762	1342	416
763	1343	415
764	1344	413
765	1345	411
766	1347	409
767	1348	407
768	1349	405
769	1350	403
770	1351	401
771	1355	400
772	1356	398
773	1357	396
774	1359	394
775	1360	392
776	1361	390
777	1362	388
778	1364	387
779	1365	385
780	1366	383
781	1367	381
782	1371	380
783	1373	378
784	1374	376
785	1376	374
786	1377	372
787	1378	370
788	1380	369
789	1381	367
790	1382	365
791	1386	364
792	1389	362
793	1390	360
794	1391	358
795	1392	356
796	1393	355
797	1395	353
798	1396	351
799	1397	349
800	1400	347
801	1402	346
802	1404	344
803	1405	342
804	1406	340
805	1407	338
806	1408	336
807	1408	334
808	1409	332
809	1410	330
810	1411	329
811	1416	327
812	1417	326
813	1418	324
814	1419	322
815	1420	320
816	1421	318
817	1422	316
818	1423	314
819	1424	312
820	1425	310
821	1426	308
822	1427	306
823	1432	305
824	1433	304
825	1434	302
826	1435	300
827	1436	298
828	1437	296
829	1438	294
830	1439	292
831	1440	290
832	1441	288
833	1442	287
834	1445	285
835	1446	283
836	1447	281
837	1448	279
838	1449	278
839	1450	276
840	1451	274
841	1452	272
842	1452	270
843	1453	268
844	1454	266
845	1456	265
846	1458	263
847	1463	262
848	1465	260
849	1467	258
850	1468	257
851	1471	255
852	1472	253
853	1473	251
854	1479	250
855	1480	249
856	1481	247
857	1482	245
858	1483	243
859	1484	241
860	1485	239
861	1486	238
862	1487	236
863	1488	234
864	1493	233
865	1494	231
866	1495	229
867	1496	227
868	1497	225
869	1498	223
870	1499	222
871	1501	220
872	1502	218
873	1503	216
874	1505	215
875	1509	213
876	1510	211
877	1511	210
878	1513	208
879	1514	206
880	1515	204
881	1516	202
882	1518	201
883	1519	199
884	1521	197
885	1525	196
886	1527	194
887	1528	192
888	1529	190
889	1535	189
890	1537	188
891	1538	186
892	1539	184
893	1542	182
894	1543	181
895	1544	179
896	1545	177
897	1547	175
898	1553	174
899	1554	172
900	1555	170
901	1556	169
902	1558	167
903	1559	165
904	1560	163
905	1561	162
906	1563	160
907	1568	158
908	1570	157
909	1571	155
910	1572	153
911	1574	151
912	1575	150
913	1577	148
914	1578	146
915	1584	145
916	1585	143
917	1586	141
918	1588	139
919	1589	138
920	1593	136
921	1594	134
922	1601	133
923	1602	131
924	1603	130
925	1605	128
926	1606	126
927	1607	124
928	1615	123
929	1616	121
930	1618	119
931	1619	118
932	1621	116
933	1622	114
934	1623	112
935	1624	111
936	1625	109
937	1629	107
938	1632	106
939	1634	104
940	1635	102
941	1636	100
942	1637	98
943	1640	97
944	1642	95
945	1647	94
946	1649	92
947	1655	90
948	1656	89
949	1657	87
950	1668	85
951	1670	84
952	1671	82
953	1673	80
954	1674	78
955	1680	77
956	1682	75
957	1683	73
958	1684	72
959	1687	70
960	1688	68
961	1689	66
962	1697	65
963	1699	63
964	1701	61
965	1702	59
966	1713	58
967	1714	56
968	1715	54
969	1717	53
970	1718	51
971	1719	49
972	1721	47
973	1726	46
974	1728	44
975	1730	42
976	1732	40
977	1733	39
978	1735	37
979	1740	35
980	1742	33
981	1744	31
982	1746	30
983	1748	28
984	1749	26
985	1750	24
986	1760	23
987	1763	21
988	1764	19
989	1765	17
990	1767	16
991	1771	14
992	1782	12
993	1785	10
994	1786	8
995	1795	7
996	1796	5
997	1799	3
998	1809	1
999	1810	0
